"ltable_id","rtable_id",label
2064,806,1
2066,5891,1
2066,5905,1
2072,15011,1
2084,804,1
2090,803,1
2090,810,1
2091,15011,1
2094,15011,1
2095,809,1
2100,810,1
2101,808,1
2102,807,1
2104,1867,1
2105,5891,1
2108,1114,1
2113,812,1
2115,15011,1
2130,1114,1
2131,1114,1
2133,5905,1
2134,5905,1
2144,15011,1
2145,15011,1
2146,15011,1
2154,1867,1
2156,12244,1
2157,1867,1
2157,12244,1
2160,12244,1
2161,1867,1
2162,5891,1
2163,5891,1
2164,5891,1
2165,5905,1
2166,5905,1
2167,5891,1
2167,5905,1
123,18419,1
2179,15011,1
2180,15011,1
2181,15011,1
2182,15011,1
2183,15011,1
2184,15011,1
136,5539,1
136,14527,1
2218,815,1
2220,815,1
2221,815,1
2222,815,1
446,429,1
448,6039,1
448,6054,1
448,26382,1
449,6037,1
449,6054,1
459,326,1
459,417,1
460,374,1
461,1878,1
463,15449,1
464,1878,1
465,13790,1
466,1878,1
470,1878,1
472,13790,1
473,1878,1
476,15449,1
478,13790,1
479,1878,1
487,1878,1
490,4063,1
492,1878,1
495,1878,1
496,6037,1
496,6054,1
496,26382,1
498,1859,1
500,1878,1
501,1878,1
502,1878,1
503,1878,1
504,22720,1
505,1878,1
506,1878,1
507,5539,1
515,1878,1
516,1878,1
517,1878,1
518,1859,1
519,1859,1
520,1859,1
522,1878,1
523,1878,1
524,1878,1
527,1859,1
528,7556,1
528,14911,1
528,14975,1
529,14527,1
533,13790,1
535,1878,1
536,1878,1
537,1878,1
538,1878,1
539,1878,1
540,1878,1
541,1878,1
542,1878,1
544,342,1
545,342,1
545,358,1
546,349,1
546,365,1
547,420,1
548,1878,1
549,1859,1
552,1878,1
553,1878,1
554,1878,1
555,374,1
556,317,1
556,420,1
557,408,1
557,420,1
558,317,1
559,1878,1
560,1878,1
561,1878,1
562,1878,1
563,1878,1
564,1878,1
565,1878,1
568,1859,1
569,1859,1
571,356,1
571,415,1
571,427,1
571,1870,1
573,340,1
573,403,1
574,427,1
575,372,1
575,403,1
576,356,1
577,4063,1
578,5539,1
578,14527,1
582,6054,1
584,15449,1
586,23134,1
6817,6195,1
6819,24696,1
6831,23458,1
6836,6501,1
6844,19663,1
754,6497,1
769,5524,1
2839,6934,1
795,6497,1
796,6497,1
797,6483,1
797,6497,1
798,6497,1
799,6483,1
799,6497,1
800,6497,1
2843,6934,1
2844,3217,1
2844,6934,1
2845,6934,1
2846,3191,1
2846,6934,1
810,8106,1
826,15185,1
2931,3217,1
2931,6934,1
2938,3217,1
2938,6934,1
2939,6934,1
5216,27225,1
5216,27243,1
5225,27234,1
5226,27269,1
5227,27236,1
5227,27254,1
5229,27240,1
5229,27256,1
5231,27274,1
1336,8022,1
5802,6495,1
5803,6496,1
5804,6497,1
5806,6499,1
5807,6500,1
5808,6501,1
5809,6502,1
5810,6503,1
5811,6504,1
5813,6506,1
5827,6502,1
5829,6485,1
5835,23134,1
5837,18128,1
5841,4300,1
5842,6037,1
5842,15449,1
5843,6054,1
5844,23134,1
5846,6037,1
5847,15449,1
5848,15185,1
5849,6054,1
5851,22720,1
5852,6037,1
5852,15449,1
5868,1867,1
5868,12244,1
5878,24281,1
5879,22512,1
2840,3191,1
2841,3191,1
2842,3191,1
4169,6224,1
4223,20544,1
4223,20586,1
4225,20544,1
4226,20562,1
4227,20544,1
4244,6222,1
4244,6223,1
4244,6224,1
4247,6222,1
4247,6223,1
4249,6223,1
2306,18111,1
2379,4048,1
2380,18097,1
2381,18097,1
2383,18097,1
2383,18111,1
2384,18097,1
2386,18097,1
2387,18097,1
2387,18111,1
2388,18097,1
2388,18111,1
2389,18097,1
2392,18097,1
2394,3061,1
2394,4048,1
2395,4048,1
2396,4048,1
2397,4048,1
2398,3061,1
2399,3061,1
2400,4048,1
2401,4048,1
2402,3061,1
2403,3061,1
2487,4511,1
2487,4523,1
2488,4517,1
2489,4511,1
2489,4517,1
2489,4523,1
2490,4517,1
5388,12865,1
5388,12867,1
5389,12868,1
5390,12865,1
5393,12866,1
5400,12865,1
4820,20561,1
4821,20562,1
4822,20574,1
4824,20547,1
4824,20565,1
4827,20550,1
4828,20569,1
4831,20573,1
4833,20575,1
4834,20576,1
4835,20577,1
4836,20572,1
4838,20580,1
4841,20583,1
4843,20573,1
4846,20561,1
4853,23367,1
4853,27244,1
4855,5529,1
4861,17081,1
4863,1396,1
4865,15435,1
4870,13279,1
1009,5529,1
5143,3850,1
5146,15079,1
5151,25066,1
5153,22318,1
5153,27233,1
5156,27877,1
5156,27893,1
5156,27902,1
5160,20070,1
5162,6786,1
5170,5529,1
5173,890,1
5175,11800,1
5177,11808,1
5179,15919,1
5180,13444,1
5181,15931,1
5183,15919,1
5185,893,1
5188,11808,1
5191,15919,1
5192,12444,1
5193,27877,1
5193,27893,1
5194,890,1
5197,15918,1
5199,11108,1
5214,27868,1
5214,27902,1
5215,27877,1
5217,27244,1
5218,27245,1
5218,27261,1
5222,27249,1
5222,27265,1
5224,27233,1
5228,27271,1
5230,27242,1
5230,27257,1
5234,22321,1
5238,16948,1
5238,16965,1
1155,8893,1
1156,8983,1
1157,9013,1
1157,9103,1
1159,9666,1
1163,9103,1
1164,8983,1
1164,9013,1
1164,9103,1
1165,8923,1
1168,9666,1
1173,9666,1
1174,9043,1
1174,9073,1
1175,8923,1
1175,8953,1
1176,8953,1
1179,9666,1
1183,9666,1
1187,14556,1
1203,8893,1
1204,8893,1
1205,9103,1
1212,27265,1
1237,9666,1
1238,9666,1
1239,9666,1
1240,9666,1
1241,9666,1
1260,9666,1
1261,9666,1
1262,9666,1
1263,9666,1
1264,9666,1
1265,9666,1
1266,9666,1
1267,9666,1
1268,9666,1
1269,9666,1
1270,9666,1
1271,9666,1
1272,9666,1
1273,9666,1
1274,9666,1
1275,9666,1
1276,9666,1
1277,9666,1
1278,9666,1
1279,9666,1
1280,9666,1
5394,12868,1
5395,8678,1
5396,12866,1
5396,12868,1
5397,12865,1
5397,12867,1
5399,12868,1
1298,9666,1
5402,12867,1
5403,12866,1
5403,12867,1
1301,9073,1
1305,9666,1
1309,9103,1
1312,9666,1
1315,9013,1
1315,9073,1
1318,8983,1
1318,9013,1
1318,9043,1
1318,9103,1
5448,12865,1
5449,12868,1
5450,12865,1
5450,12866,1
5451,22015,1
5452,12866,1
3640,13276,1
3641,8198,1
3643,8198,1
3644,8198,1
3645,8198,1
5733,21516,1
5739,21498,1
5742,21501,1
5743,21502,1
5744,21503,1
5745,21504,1
5746,21505,1
5747,21506,1
5748,21507,1
5749,21508,1
5750,21497,1
5751,21510,1
5752,21511,1
5753,21512,1
5754,21513,1
5756,21513,1
5758,21498,1
5759,21502,1
5763,21535,1
2099,21201,1
135,24026,1
6406,9908,1
6408,2656,1
6410,2447,1
6415,14837,1
6416,19647,1
6417,24050,1
6418,18754,1
4748,24026,1
4757,6848,1
4758,4671,1
4758,4686,1
4779,10334,1
4788,1272,1
2766,24026,1
6863,13581,1
6865,13583,1
6868,13586,1
6871,13589,1
6872,13590,1
6872,13611,1
6873,13591,1
6867,13585,1
6877,13595,1
6877,13616,1
6876,13594,1
6879,13597,1
6879,13618,1
6880,13598,1
6880,13619,1
6878,13596,1
6893,10395,1
6906,10503,1
5075,6386,1
5080,12185,1
5081,15396,1
5086,6847,1
1003,24026,1
1022,9531,1
